period,generation,solution_rank,lambda_h,lambda_k,lambda,tip,lambda_k_branch
12,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
12,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
13,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
14,-1,19,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,0,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,1,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,2,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,3,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,4,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,5,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,6,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,7,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,8,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,9,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,10,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,11,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,12,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,13,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,14,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,15,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,16,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,17,0.0,0.0,0.5,0.5,kperiod_sum
15,-1,18,0.0,0.0,0.5,0.5,kperiod_sum
